Restaurant Name,Locality,Cuisines,Average Cost for two,Aggregate rating
Ooma,SM Megamall,Japanese,1600,4.9
Spiral - Sofitel Philippine Plaza Manila,Sofitel Philippine Plaza Manila,European,6100,4.9
Silantro Fil-Mex,Kapitolyo,Filipino,900,4.9
Coco Bambu,Setor De Clubes Esportivos Sul,International,300,4.9
Braseiro da Gíçvea,Gvea,Brazilian,200,4.9
Garota de Ipanema,Ipanema,Brazilian,200,4.9
Rae's Coastal Cafe,Augusta,American,100,4.9
Shorts Burger and Shine,Iowa City,Burger,100,4.9
Oakwood Cafe,Dalton,BBQ,100,4.9
Tantra Asian Bistro,Davenport,Asian,100,4.9
The Cafe,Ames,American,100,4.9
Atlanta Highway Seafood Market,Gainesville,Sandwich,100,4.9
Ingleside Village Pizza,Macon,Pizza,100,4.9
Pom Pom's Teahouse and Sandwicheria,The Milk District,American,100,4.9
Yellow Dog Eats,Windermere,American,100,4.9
McGuire's Irish Pub & Brewery,Pensacola,Burger,100,4.9
Mama's Fish House,Paia,Hawaiian,100,4.9
Marukame Udon,Waikiki,Japanese,100,4.9
Mazzaro's Italian Market,Kenwood,Italian,100,4.9
Mr. Dunderbak's Biergarten and Marketplatz,New Tampa,European,100,4.9
Punjab Grill,Venetian Village,Indian,400,4.9
AB's Absolute Barbecues,Deira City Centre Area,Continental,200,4.9
Carnival By Tresind,DIFC,Indian,600,4.9
Tresind - Nassima Royal Hotel,Nassima Royal Hotel,Indian,600,4.9
Sheroes Hangout,Tajganj,Cafe,100,4.9
Sagar Gaire Fast Food,Arera Colony,Fast Food,300,4.9
AB's - Absolute Barbecues,Velachery,North Indian,1700,4.9
CakeBee,Saibaba Colony,Bakery,400,4.9
The Great Indian Pub,Jakhan,North Indian,1600,4.9
Caterspoint,DLF Phase 3,Mexican,600,4.9
Barbeque Nation,Ulubari,North Indian,1600,4.9
AB's - Absolute Barbecues,Banjara Hills,European,1600,4.9
AB's - Absolute Barbecues,Jubilee Hills,European,1600,4.9
Zolocrust - Hotel Clarks Amer,Hotel Clarks Amer,Italian,2100,4.9
Barbeque Nation,Park Street Area,North Indian,1700,4.9
Barbeque Nation,Sector 5,North Indian,1700,4.9
Grandson of Tunday Kababi,Aminabad,Mughlai,400,4.9
Mirchi And Mime,Powai,North Indian,1600,4.9
Barbeque Nation,Sitabuldi,North Indian,1700,4.9
Naturals Ice Cream,Connaught Place,Ice Cream,200,4.9
Indian Accent - The Manor,Friends Colony,Modern Indian,4100,4.9
Masala Library,Janpath,Modern Indian,5100,4.9
Barbeque Nation,Kirlampudi Layout,North Indian,1700,4.9
Talaga Sampireun,Cengkareng,Sunda,200100,4.9
Sushi Masa,Penjaringan,Sushi,500100,4.9
Talaga Sampireun,Taman Impian Jaya Ancol,Sunda,200100,4.9
Talaga Sampireun,Pondok Aren,Sunda,200100,4.9
Milse,Britomart,Desserts,100,4.9
Miann,Fort Street,Desserts,100,4.9
Flat Iron,Beak Street,Steak,100,4.9
Duck & Waffle,Bishopsgate,British,100,4.9
Bao,Lexington Street,Taiwanese,100,4.9
Solita,Northern Quarter,American,100,4.9
Mainland China Restaurant,Barwa Towers,Chinese,300,4.9
Cube - Tasting Kitchen,City and Suburban,European,1600,4.9
Urbanologi,Marshalltown,Tapas,800,4.9
Restaurant Mosaic @ The Orient,West Park,French,3300,4.9
Ministry of Crab,Old Dutch Hospital,Seafood,4100,4.9
Gaga Manjero,Gazi Osman Paa,World Cuisine,100,4.9
Starbucks,Bebek,Cafe,100,4.9
Draft Gastro Pub,Caddebostan,Bar Food,200,4.9
Le Petit Souffle,Century City Mall,French,1200,4.8
Sambo Kojin,SM Megamall,Japanese,1600,4.8
Locavore,Kapitolyo,Filipino,1200,4.8
Silantro Fil-Mex,UP Town Center,Filipino,900,4.8
Confeitaria Colombo,Centro,Desserts,200,4.8
TT Burger,Galeria River,Burger,100,4.8
Skye - Hotel Unique,Hotel Unique,Beverages,400,4.8
Miyabi 9,East Village,Japanese,100,4.8
Hollerbach's Willow Tree Cafí©,Sanford,German,100,4.8
Ella's Americana Folk Art Cafe,Seminole Heights,International,100,4.8
AB's Absolute Barbecues,Dubai Media City,Indian,200,4.8
Rajasthan Al Malaki,Muwailih Commercial,Indian,100,4.8
Toit,Indiranagar,Italian,2100,4.8
Chili's,Express Avenue Mall,Mexican,1800,4.8
Burger Factory,Anjuna,Fast Food,1200,4.8
Matchbox,Sector 29,Continental,1600,4.8
Prankster,Sector 29,Modern Indian,1600,4.8
Coní_u,Jubilee Hills,Bakery,700,4.8
Spice Kraft,Ballygunge,Continental,1300,4.8
Kopper Kadai,Rajouri Garden,North Indian,1500,4.8
Le Plaisir,Deccan Gymkhana,European,1100,4.8
Depot Eatery and Oyster Bar,Federal Street,Seafood,100,4.8
Hakkasan,Mayfair,Chinese,200,4.8
Jarryds,Sea Point,Cafe,300,4.8
Gemelli Cucina Bar,Bryanston,Contemporary,500,4.8
NIU by Vikings,SM Aura Premier,Seafood,3100,4.7
Bibi,Copacabana,Juices,100,4.7
Aprazí_vel,Santa Teresa,Brazilian,400,4.7
Zoeys Pizzeria,Marion,Pizza,100,4.7
Earl of Sandwich,Disney: Downtown Disney,American,100,4.7
Tibby's New Orleans Kitchen,Winter Park,Cajun,100,4.7
Original Georgios Authentic Greek Food,Perdido Key,Greek,100,4.7
Kona Brewing Company,Kailua Kona,American,100,4.7
Leonard's Bakery,Kaimuki,nan,100,4.7
Green Truck Pub,Savannah,Burger,100,4.7
Bern's Steak House,Hyde Park,American,100,4.7
Datz,Palma Ceia,Desserts,100,4.7
Tamba,World Trade Center Mall,Indian,600,4.7
The Cheesecake Factory,The Dubai Mall,American,300,4.7
The Fatty Bao - Asian Gastro Bar,Indiranagar,Asian,2500,4.7
ECHOES Koramangala,Koramangala 5th Block,Continental,1000,4.7
Truffles,Koramangala 5th Block,American,900,4.7
The Black Sheep Bistro,Panaji,Seafood,1600,4.7
feel ALIVE,Sector 29,North Indian,1300,4.7
The Basement Cafí©,Chandmari,Cafe,700,4.7
Chili's,Banjara Hills,Mexican,1900,4.7
Churrolto,Madhapur,Desserts,600,4.7
Tapri Central,C Scheme,Cafe,800,4.7
Barbeque Nation,Riverside Mall,North Indian,1700,4.7
The Fusion Kitchen,Borivali West,North Indian,1100,4.7
MOB Brewpub,Connaught Place,Continental,1600,4.7
Zabardast Indian Kitchen,Connaught Place,North Indian,1900,4.7
Naturals Ice Cream,Rajouri Garden,Ice Cream,200,4.7
Echoes Satyaniketan,Satyaniketan,Cafe,700,4.7
Pa Pa Ya,Select Citywalk Mall,Asian,2100,4.7
Giapo,Britomart,Ice Cream,100,4.7
Eight - The Langham Hotel,The Langham Hotel,European,200,4.7
Roseleaf Bar Cafe,Leith,Scottish,100,4.7
Gymkhana,Albemarle Street,Indian,100,4.7
Yauatcha,Broadwick Street,Chinese,100,4.7
Restaurant Gordon Ramsay,Chelsea,French,300,4.7
Dishoom,Upper St Martin's Lane,Indian,100,4.7
Gymkhana,Souq Waqif,Indian,300,4.7
Kream,Brooklyn,African,500,4.7
Pizza ÛÁl Forno,Yldzevler,Pizza,100,4.7
J'adore Chocolatier,Asmalmescit,Desserts,100,4.7
Karakí_y Gí_llí_oÛôlu,Karak_y,Desserts,100,4.7
Balada Mix,Ipanema,Brazilian,100,4.6
Zazíç BistríÇ Tropical,Ipanema,Brazilian,200,4.6
Sushi Leblon,Leblon,Japanese,300,4.6
Aconchego Carioca,Tijuca,Brazilian,100,4.6
